,player_id,nickname,firstname,lastname,birth_date,player_name,team_id,jersey_number,minutes_played,is_starter,game_id
0,6165,F. Andone,Florin,Andone,1993-04-11,Florin Andone,11944,0,63,True,1694390
1,83753,N. Stanciu,Nicolae Claudiu,Stanciu,1993-05-07,Nicolae Claudiu Stanciu,11944,0,74,True,1694390
2,84017,A. Popa,Adrian,Popa,1988-08-16,Adrian Popa,11944,0,84,True,1694390
3,83574,C. Tătărușanu,Anton Ciprian,Tătărușanu,1986-02-09,Anton Ciprian Tătărușanu,11944,0,96,True,1694390
4,33235,B. Stancu,Bogdan Sorin,Stancu,1987-06-28,Bogdan Sorin Stancu,11944,0,96,True,1694390
5,105330,R. Raț,Răzvan Dincă,Raț,1981-05-26,Răzvan Dincă Raț,11944,0,96,True,1694390
6,70090,C. Săpunaru,Ionuț Cristian,Săpunaru,1984-04-05,Ionuț Cristian Săpunaru,11944,0,96,True,1694390
7,83953,O. Hoban,Ovidiu Ştefan,Hoban,1982-12-27,Ovidiu Ştefan Hoban,11944,0,96,True,1694390
8,83575,V. Chiricheș,Vlad Iulian,Chiricheș,1989-11-14,Vlad Iulian Chiricheș,11944,0,96,True,1694390
9,84536,D. Grigore,Dragoș,Grigore,1986-09-07,Dragoș Grigore,11944,0,96,True,1694390
10,83824,M. Pintilii,Mihai Doru,Pintilii,1984-11-09,Mihai Doru Pintilii,11944,0,96,True,1694390
11,38598,D. Alibec,Denis,Alibec,1991-05-09,Denis Alibec,11944,0,33,False,1694390
12,83590,A. Chipciu,Alexandru Mihăiță,Chipciu,1989-05-18,Alexandru Mihăiță Chipciu,11944,0,22,False,1694390
13,20596,G. Torje,Gabriel Andrei,Torje,1989-11-22,Gabriel Andrei Torje,11944,0,12,False,1694390
14,3682,A. Griezmann,Antoine,Griezmann,1991-03-21,Antoine Griezmann,4418,0,68,True,1694390
15,7936,P. Pogba,Paul,Pogba,1993-03-15,Paul Pogba,4418,0,79,True,1694390
16,3276,A. Rami,Adil,Rami,1985-12-27,Adil Rami,4418,0,96,True,1694390
17,7915,P. Evra,Patrice,Evra,1981-05-15,Patrice Evra,4418,0,96,True,1694390
18,26010,O. Giroud,Olivier,Giroud,1986-09-30,Olivier Giroud,4418,0,96,True,1694390
19,25714,D. Payet,Dimitri ,Payet,1987-03-29,Dimitri  Payet,4418,0,92,True,1694390
20,7858,B. Sagna,Bacary,Sagna,1983-02-14,Bacary Sagna,4418,0,96,True,1694390
21,7855,L. Koscielny,Laurent,Koscielny,1985-09-10,Laurent Koscielny,4418,0,96,True,1694390
22,25437,B. Matuidi,Blaise,Matuidi,1987-04-09,Blaise Matuidi,4418,0,96,True,1694390
23,31528,N. Kanté,N'Golo,Kanté,1991-03-29,N'Golo Kanté,4418,0,96,True,1694390
24,25381,H. Lloris,Hugo,Lloris,1986-12-26,Hugo Lloris,4418,0,96,True,1694390
